ADVERTISER_NAME,advertiser_industry,SUPPLY_SOURCE,DOMAIN,APP_NAME,DEVICE_TYPE,ENVIRONMENT,LINE_ITEM_TYPE,CREATIVE_SIZE,COUNTRY,IMPRESSIONS,VIEWABLE_IMPRESSIONS,MEASURABLE_IMPRESSIONS,VIEWABILITY,CLICKS,CLICK_THROUGH_RATE,TOTAL_SPEND_USD,ECPM_USD,VCPM_USD,ECPC_USD,VIDEO_COMPLETE_VIEWS,VIDEO_COMPLETION_RATE,effective_viewability,measurability_rate,cost_per_viewable_impression,quality_score,cost_efficiency_score,brand_safety_score,brand_safety_risk,iab_category,iab_category_secondary,content_type,audience_profile
Sky Showtime,entertainment,adx,secretele.com,,Mobile,Web,DISPLAY,336x280,RO,483669,372443,480914,0.7744,2288,0.47,354.378523,0.733,0.951,0.155,0,0.0,0.77,0.9943,0.9515,0.8843,0.0468,0.8843,low,IAB1,,entertainment,"mass_reach,young_adults"
mtl_emea_gr_ip_fp_multi,other,adx,youfly.com,,Mobile,Web,VIDEO,1300x1280,GR,330243,265066,325742,0.8137000000000001,131,0.04,1047.429081,3.172,3.952,7.996,265848,0.805,0.8026,0.9864,3.9516,0.872,0.0113,0.9001,low,IAB0,,other,mass_reach
Sky Showtime,entertainment,openx,plejada.pl,,Mobile,Web,DISPLAY,320x100,PL,278645,254522,274811,0.9262,1913,0.69,326.647772,1.172,1.283,0.171,0,0.0,0.9134,0.9862,1.2834,0.9562,0.0347,0.9562,low,IAB1,,entertainment,"mass_reach,young_adults"
Sky Showtime - Poland,entertainment,index,wiadomosci.gazeta.pl,,Desktop,Web,DISPLAY,728x90,PL,216612,122026,214750,0.5682,10,0.0,30.852263,0.142,0.253,3.085,0,0.0,0.5633,0.9914,0.2528,0.7798,0.1762,0.7798,low,IAB1,,entertainment,"mass_reach,young_adults"
Sky Showtime,entertainment,adx,kuchnia.mojegotowanie.pl,,Mobile,Web,DISPLAY,300x600,PL,209717,155803,208273,0.7481,1156,0.55,295.393149,1.409,1.896,0.256,0,0.0,0.7429,0.9931,1.8959,0.8706,0.0235,0.8706,low,IAB1,,entertainment,"mass_reach,young_adults"
Sky Showtime,entertainment,wpssp,wiadomosci.wp.pl,,Mobile,Web,DISPLAY,300x250,PL,188701,151422,187035,0.8096,325,0.17,138.33184,0.733,0.914,0.426,0,0.0,0.8024,0.9912,0.9136,0.9004,0.0488,0.9004,low,IAB1,,entertainment,"mass_reach,young_adults"
777 - Spain,gaming,index,www.estadiodeportivo.com,,Mobile,Web,DISPLAY,300x600,ES,159434,129923,156734,0.8289,1780,1.12,425.52239,2.669,3.275,0.239,0,0.0,0.8149,0.9831,3.2752,0.906,0.0136,0.906,low,IAB9,,gaming,"young_adults,mass_reach"
Pepsi - PT,food,adx,www.flash.pt,,Mobile,Web,DISPLAY,320x100,PT,155365,145248,153772,0.9446,613,0.39,117.616567,0.757,0.81,0.192,0,0.0,0.9349,0.9897,0.8098,0.9671,0.055,0.9671,low,IAB8,,other,"mass_reach,parents"
Sky Showtime,entertainment,rp,mandiner.hu,,Mobile,Web,DISPLAY,300x250,HU,129360,75550,127352,0.5932,100,0.08,49.41596,0.382,0.654,0.494,0,0.0,0.584,0.9845,0.6541,0.7889,0.0681,0.7889,low,IAB1,,entertainment,"mass_reach,young_adults"
Visit Florida,travel,rp,ml.t-mobile.com,,Mobile,Web,DISPLAY,300x50,US,128588,102493,119482,0.8578,179,0.14,385.764,3.0,3.764,2.155,0,0.0,0.7971,0.9292,3.7638,0.8935,0.0118,0.8935,low,IAB20,,other,"mass_reach,high_income"
SodaStream_PL,food,adx,telemagazyn.pl,,Mobile,Web,DISPLAY,300x250,PL,121141,96139,118558,0.8109000000000001,290,0.24,363.298718,2.999,3.779,1.253,0,0.0,0.7936,0.9787,3.7789,0.8948,0.0118,0.8948,low,IAB8,,other,"mass_reach,parents"
FDJ - FR,gaming,rp,www.football365.fr,,Mobile,Web,DISPLAY,320x480,FR,117005,81925,114721,0.7141,247,0.21,65.474366,0.56,0.799,0.265,0,0.0,0.7002,0.9805,0.7992,0.8473,0.0557,0.8473,low,IAB9,,gaming,"young_adults,mass_reach"
mtl_emea_uk_ip_fp_multi,other,rp,www.nottinghampost.com,,Mobile,Web,VIDEO,1300x1280,GB,104675,86410,95782,0.9022,7,0.01,663.291119,6.337,7.676,94.756,89845,0.8583,0.8255,0.915,7.6761,0.8957,0.0058,0.9086,low,IAB0,,other,mass_reach
Sky Showtime,entertainment,adx,blikkruzs.blikk.hu,,Mobile,Web,DISPLAY,336x280,HU,104144,87053,102209,0.8517,1025,0.98,276.248043,2.653,3.173,0.27,0,0.0,0.8359,0.9814,3.1733,0.9165,0.014,0.9165,low,IAB1,,entertainment,"mass_reach,young_adults"
mtl_emea_es_ip_fp_multi,other,adx,www.telecinco.es,,Mobile,Web,DISPLAY,728x90,ES,103692,96131,99225,0.9688,458,0.44,175.390785,1.691,1.824,0.383,0,0.0,0.9271,0.9569,1.8245,0.9628,0.0244,0.9628,low,IAB0,,other,mass_reach
Betano BR,gaming,rp,www.tudogostoso.com.br,,Mobile,Web,DISPLAY,970x250,BR,103088,90330,100600,0.8979,295,0.29,64.916439,0.63,0.719,0.22,0,0.0,0.8762,0.9759,0.7187,0.9369,0.062,0.9369,low,IAB9,,gaming,"young_adults,mass_reach"
mtl_emea_uk_ip_fp_multi,other,rp,www.birminghammail.co.uk,,Desktop,Web,VIDEO,1300x1280,GB,101406,83860,89578,0.9362,43,0.04,636.507658,6.277,7.59,14.803,86870,0.8567,0.827,0.8834,7.5901,0.8978,0.0059,0.9098,low,IAB0,,other,mass_reach
mtl_emea_es_ip_fp_multi,other,adx,www.lne.es,,Desktop,Web,DISPLAY,970x90,ES,100422,94709,98587,0.9607,39,0.04,94.9338,0.945,1.002,2.434,0,0.0,0.9431,0.9817,1.0024,0.9712,0.0444,0.9712,low,IAB0,,other,mass_reach
FDJ - FR,gaming,index,www.mariefrance.fr,,Mobile,Web,DISPLAY,320x100,FR,98835,64299,96070,0.6693000000000001,134,0.14,48.982792,0.496,0.762,0.366,0,0.0,0.6506,0.972,0.7618,0.8207,0.0585,0.8207,low,IAB9,,gaming,"young_adults,mass_reach"
