supply_source,domain,app_name,country,environment,device_type,line_item_type,creative_size,impressions,viewable_impressions,measurable_impressions,clicks,total_spend_usd,viewability,measurability,ctr,ecpm_usd,vcpm_usd,ecpc_usd,viewable_impressions_est,quality_score,cost_efficiency_score,iab_category,iab_category_secondary,content_type,audience_profile,geo_focus,language,brand_safety_risk,is_app,publisher_tier
kidoz,apps.apple.com,Flow Free,US,In-app,Mobile,VIDEO,1920x1080,2469,2459,2469,26,21.5398,0.9959,1.0,0.0105,8.724,8.7593,0.8783,2459,0.998,0.1139,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,apps.apple.com,Dreamdale - Fairy Adventure,US,In-app,Mobile,VIDEO,1300x1280,3319,3304,3318,223,28.9552,0.9958,0.9997,0.0672,8.724,8.764,0.13,3305,0.9978,0.1139,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
opera,blitz.gg,,MX,Web,Desktop,DISPLAY,728x90,3207,3190,3205,30,14.8696,0.9953,0.9994,0.0094,4.6365,4.6613,0.5232,3192,0.9975,0.214,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,tech_enthusiasts,global,en,low,false,mid-tier
rp,www.arkadium.com,,MX,Web,Mobile,DISPLAY,300x50,1208,1200,1207,3,5.6254,0.9942,0.9992,0.0025,4.657,4.688,1.875,1201,0.9969,0.2126,IAB9 - Hobbies & Interests,,gaming,seniors,global,en,low,false,mid-tier
kidoz,apps.apple.com,Bricks Breaker Quest,US,In-app,Mobile,VIDEO,1920x1080,8637,8574,8626,24,75.3499,0.994,0.9987,0.0028,8.724,8.788,3.14,8585,0.9966,0.1134,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,apps.apple.com,Bricks Breaker Quest,US,In-app,Mobile,VIDEO,1300x1280,12520,12421,12499,30,109.2255,0.9938,0.9983,0.0024,8.724,8.794,3.641,12442,0.9964,0.1133,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Jungle Floof - Island Pet Care,US,In-app,Mobile,VIDEO,1920x1080,1048,1040,1048,39,9.1428,0.9924,1.0,0.0372,8.724,8.791,0.234,1040,0.9962,0.1133,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,apps.apple.com,Dreamdale - Fairy Adventure,US,In-app,Mobile,VIDEO,1920x1080,3031,2960,2972,120,26.4427,0.996,0.9805,0.0396,8.724,8.9411,0.1073,3019,0.9922,0.111,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
smartyads,www.buzzfeed.com,,MX,Web,Mobile,DISPLAY,300x50,1448,1399,1419,27,6.7403,0.9859,0.98,0.0186,4.655,4.818,0.25,1428,0.9869,0.2048,IAB1 - Arts & Entertainment,IAB12 - News / Current Events,entertainment,young_adults,global,en,medium,false,premium
adxtr,play.google.com,Mackolik Canlı Sonuçlar,TR,In-app,Mobile,DISPLAY,320x50,5309,5272,5304,10,5.8903,0.994,0.9991,0.0019,1.109,1.117,0.589,5277,0.9867,0.8833,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
