SUPPLY_SOURCE,DOMAIN,APP_NAME,DEVICE_TYPE,ENVIRONMENT,LINE_ITEM_TYPE,CREATIVE_SIZE,COUNTRY,IMPRESSIONS,VIEWABLE_IMPRESSIONS,MEASURABLE_IMPRESSIONS,VIEWABILITY,CLICKS,CLICK_THROUGH_RATE,TOTAL_SPEND_USD,ECPM_USD,VCPM_USD,ECPC_USD,VIDEO_COMPLETE_VIEWS,VIDEO_COMPLETION_RATE,effective_viewability,measurability_rate,cost_per_viewable_impression,quality_score,cost_efficiency_score,brand_safety_score,brand_safety_risk,iab_category,iab_category_secondary,content_type,audience_profile,placement_rationale_pl
rp,www.globo.com,,Mobile,Web,DISPLAY,300x250,BR,1527549,1156421,1510220,76.57%,3681,0.24%,2015.375047,1.319,1.743,0.548,0,0.00%,0.757,0.9887,1.7428,0.8772,0.0001,0.8772,low,IAB12 - News & Politics,IAB5 - Entertainment,news,mass_reach,"Brazylijski portal newsowy z największym zasięgiem, idealny dla kampanii mainstream i mass-market."
triplelift,www.lequipe.fr,,Mobile,Web,DISPLAY,500x120,FR,843042,0,0,0.00%,8039,0.95%,2673.593639,3.171,0.000,0.333,0,0.00%,0.0,0.0,,0.0,0.0,0.0,high,IAB17 - Sports,,sports,"mass_reach, young_adults",Wiodący francuski serwis sportowy; idealna platforma dla marek sportowych i sprzętu na rynku francuskim.
index,as.com,,Mobile,Web,DISPLAY,300x600,ES,657148,326601,643930,50.72%,1400,0.21%,516.485630,0.786,1.581,0.369,0,0.00%,0.497,0.9799,1.5814,0.7435,0.0001,0.7435,low,IAB17 - Sports,,sports,"mass_reach, young_adults","Portal sportowy AS.com, duży zasięg wśród fanów sportów, głównie piłki nożnej."
adxbr,gauchazh.clicrbs.com.br,,Mobile,Web,DISPLAY,320x100,BR,640629,549447,621037,88.47%,3588,0.56%,872.828705,1.362,1.589,0.243,0,0.00%,0.8577,0.9694,1.5886,0.9271,0.0001,0.9271,low,IAB12 - News & Politics,,news,"mass_reach, professionals",Brazylijski portal informacyjny z lokalnym zasięgiem dociera do dużej publiczności zainteresowanej wiadomościami.
outbrain,cuisine.journaldesfemmes.fr,,Mobile,Web,DISPLAY,500x120,FR,503229,0,0,0.00%,3474,0.69%,801.405867,1.593,0.000,0.231,0,0.00%,0.0,0.0,,0.0,0.0,0.0,high,IAB18 - Women's Interests,IAB1 - Arts & Entertainment,lifestyle,"parents, mass_reach",Francuska sekcja kulinarna przyciąga kobiety zainteresowane gotowaniem i kulinariką.
rp,tvprime.correiobraziliense.com.br,,Mobile,Web,DISPLAY,300x600,BR,495449,402356,487751,82.49%,6613,1.33%,818.675102,1.652,2.035,0.124,0,0.00%,0.8121,0.9845,2.0347,0.9047,0.0001,0.9047,low,IAB11 - Entertainment,IAB12 - News & Politics,entertainment,mass_reach,Brazylijski serwis telewizyyjny z treściami rozrywkowymi dla szerokiego grona odbiorców.
adxbr,www.tuasaude.com,,Mobile,Web,DISPLAY,300x250,BR,465555,414093,457695,90.47%,3093,0.66%,1131.366707,2.430,2.732,0.366,0,0.00%,0.8895,0.9831,2.7322,0.9439,0.0001,0.9439,low,IAB7 - Health & Fitness,,health,"mass_reach, parents","Serwis zdrowotny, odporny na kontekst, idealny dla reklam farmaceutycznych i wellness."
rp,noticias.uol.com.br,,Mobile,Web,DISPLAY,970x250,BR,455791,410766,434937,94.44%,1288,0.28%,547.942916,1.202,1.334,0.425,0,0.00%,0.9012,0.9542,1.334,0.9493,0.0001,0.9493,low,IAB12 - News & Politics,,news,"mass_reach, professionals","Serwis informacyjny o szerokim zasięgu, idealny dla kampanii mass-market i B2B."
adxbr,caras.com.br,,Mobile,Web,DISPLAY,300x250,BR,352001,248692,338842,73.39%,769,0.22%,235.672213,0.670,0.948,0.306,0,0.00%,0.7065,0.9626,0.9476,0.8482,0.0002,0.8482,low,IAB6 - Entertainment,,entertainment,"mass_reach, young_adults",Magazyn celebrytów i mody dociera do publiczności zainteresowanej stylem życia celebrytów.
sovrn,www.larazon.es,,Mobile,Web,DISPLAY,320x100,ES,292263,253644,288764,87.84%,649,0.22%,180.975093,0.619,0.714,0.279,0,0.00%,0.8679,0.988,0.7135,0.9332,0.0002,0.9332,low,IAB12 - News & Politics,,news,"mass_reach, professionals","Hiszpańska gazeta informacyjna; dostęp do dojrzałej, wykształconej publiczności zainteresowanej polityką."
rhythmone,www.mumsnet.com,,Mobile,Web,DISPLAY,320x50,GB,281047,265072,278085,95.32%,759,0.27%,258.994529,0.922,0.977,0.341,0,0.00%,0.9432,0.9895,0.9771,0.9713,0.0002,0.9713,low,IAB26 - Parenting,IAB21 - Family & Relationships,parenting,"parents, young_adults","Komunitas matek z wysokim zaangażowaniem, idealna dla produktów rodzinnych."
rp,index.hu,,Mobile,Web,DISPLAY,320x50,HU,271916,246947,270242,91.38%,108,0.04%,44.895351,0.165,0.182,0.416,0,0.00%,0.9082,0.9938,0.1818,0.9538,0.0009,0.9538,low,IAB12 - News & Politics,IAB14 - Society,news,"mass_reach, professionals",Węgierski portal informacyjny o znacznym udziale w rynku medialnym.
rp,www.mp.pl,,Mobile,Web,DISPLAY,336x280,PL,258988,191839,254916,75.26%,1561,0.60%,905.511817,3.496,4.720,0.580,0,0.00%,0.7407,0.9843,4.7202,0.8684,0.0,0.8684,low,IAB12 - News & Politics,,news,"mass_reach, professionals",Portal informacyjny o szerokim zasięgu politycznym i społecznym.
